恆	ㄏㄥˊ	恆久	ㄏㄥˊ ㄐㄧㄡˇ	持續很久，不容易改變。	這份友情經過多年，依然恆久不變。
澄	ㄔㄥˊ	澄淨	ㄔㄥˊ ㄐㄧㄥˋ	清澈而乾淨。	山中的溪水澄淨，可以看見水底的小石頭。
穗	ㄙㄨㄟˋ	稻穗	ㄉㄠˋ ㄙㄨㄟˋ	稻子結成一串串的穀粒。	金黃的稻穗隨風輕輕搖動。
養	ㄧㄤˇ	養活	ㄧㄤˇ ㄏㄨㄛˊ	提供生活所需，讓人能生活。	農夫努力工作，養活一家人。
源	ㄩㄢˊ	來源	ㄌㄞˊ ㄩㄢˊ	事物從哪裡來。	老師請我們查清楚資料的來源。
藝	ㄧˋ	藝術	ㄧˋ ㄕㄨˋ	用創作表達想法與美感的活動。	我們在美術館欣賞不同的藝術作品。
樸	ㄆㄨˊ	樸素	ㄆㄨˊ ㄙㄨˋ	簡單自然，不華麗。	她穿著樸素的衣服，卻十分整潔。
堆	ㄉㄨㄟ	堆積	ㄉㄨㄟ ㄐㄧ	一層一層聚集在一起。	秋天的落葉堆積在樹下。
撿	ㄐㄧㄢˇ	撿拾	ㄐㄧㄢˇ ㄕˊ	把地上的東西拾起來。	路得在田裡撿拾掉落的麥穗。
巾	ㄐㄧㄣ	毛巾	ㄇㄠˊ ㄐㄧㄣ	用來擦拭身體或物品的布。	運動後，他用毛巾擦汗。
痠	ㄙㄨㄢ	痠痛	ㄙㄨㄢ ㄊㄨㄥˋ	身體感到痠軟又疼痛。	爬山後，我的雙腿有些痠痛。
素	ㄙㄨˋ	素食	ㄙㄨˋ ㄕˊ	不吃肉類的飲食或餐點。	那家餐廳也提供素食餐點。
尊	ㄗㄨㄣ	尊重	ㄗㄨㄣ ㄓㄨㄥˋ	重視別人並有禮貌地對待。	我們要尊重每個人的想法。
嚴	ㄧㄢˊ	嚴格	ㄧㄢˊ ㄍㄜˊ	要求仔細，不隨便放過錯誤。	教練嚴格要求隊員練習動作。
勞	ㄌㄠˊ	勞動	ㄌㄠˊ ㄉㄨㄥˋ	付出體力做事。	農夫每天在田裡勞動。
怨	ㄩㄢˋ	怨恨	ㄩㄢˋ ㄏㄣˋ	因不滿或受委屈而心裡生氣。	他不再怨恨朋友，願意好好談一談。
慷	ㄎㄤ	慷慨	ㄎㄤ ㄎㄞˇ	大方地拿出自己的東西幫助別人。	這位地主慷慨地分享收成。
慨	ㄎㄞˇ	慨嘆	ㄎㄞˇ ㄊㄢˋ	有感觸而發出嘆息。	看到老房子被拆除，爺爺不禁慨嘆時光飛逝。
滋	ㄗ	滋養	ㄗ ㄧㄤˇ	提供養分，幫助生長。	雨水滋養田裡的小麥。
