泥	ㄋㄧˊ	泥土	ㄋㄧˊ ㄊㄨˇ	土和水混合成的東西。	下雨後，地上的泥土變得濕濕軟軟的。
化	ㄏㄨㄚˋ	變化	ㄅㄧㄢˋ ㄏㄨㄚˋ	事物改變了原來的樣子。	隨著季節的變化，樹葉的顏色也跟著變了。
雀	ㄑㄩㄝˋ	麻雀	ㄇㄚˊ ㄑㄩㄝˋ	一種常見的小鳥。	幾隻麻雀在電線桿上吱吱喳喳地叫著。
輕	ㄑㄧㄥ	輕巧	ㄑㄧㄥ ㄑㄧㄠˇ	重量很輕，動作靈活。	這台筆記型電腦非常輕巧，方便隨身攜帶。
羽	ㄩˇ	羽毛	ㄩˇ ㄇㄠˊ	鳥類身上的毛。	天鵝身上長滿了潔白柔軟的羽毛。
衣	ㄧ	衣服	ㄧ ㄈㄨˊ	穿在身上遮蔽身體的東西。	媽媽幫我買了一件漂亮的新衣服。
脆	ㄘㄨㄟˋ	酥脆	ㄙㄨ ㄘㄨㄟˋ	食物鬆脆好咬。	剛炸好的薯條吃起來非常酥脆可口。
髮	ㄈㄚˇ	頭髮	ㄊㄡˊ ㄈㄚˇ	長在頭上的毛髮。	姊姊有一頭烏黑亮麗的長頭髮。
處	ㄔㄨˋ	到處	ㄉㄠˋ ㄔㄨˋ	每個地方。	春天到了，公園裡到處都開滿了鮮花。
旅	ㄌㄩˇ	旅行	ㄌㄩˇ ㄒㄧㄥˊ	到外地遊玩。	暑假時，爸爸要帶我們全家人去日本旅行。
行	ㄒㄧㄥˊ	行走	ㄒㄧㄥˊ ㄗㄡˇ	走路。	在路上行走時，一定要注意來往的車輛。
平	ㄆㄧㄥˊ	平安	ㄆㄧㄥˊ ㄢ	沒有危險、很安定。	奶奶每天都祈求全家人能過著平安的生活。
男	ㄋㄢˊ	男生	ㄋㄢˊ ㄕㄥ	男性的人。	我們班的男生都很喜歡在下課時踢足球。
朗	ㄌㄤˇ	開朗	ㄎㄞ ㄌㄤˇ	個性樂觀、心情愉快。	他是一個個性開朗的人，總是帶著笑容。
足	ㄗㄨˊ	足球	ㄗㄨˊ ㄑㄧㄡˊ	一種用腳踢的球類運動。	哥哥最喜歡和朋友一起在操場上踢足球。
